oblast_or_country,pcode,# total population,# female population,# male population,# female younger population (0 - 14 years),# male younger population (0 - 14 years),# total younger population (0 - 14 years),# female older population (60 years and up),# male older population (60 years and up),# total older population (60 years and up),# registered IDPs,# people moving back,# people exposed,# people affected,# people in need,# people in level 1 humanitarian condition,# people in level 2 humanitarian condition,# people in level 3 humanitarian condition,# people in level 4 humanitarian condition,# people in level 5 humanitarian condition,# km² landmass affected,# km² controlled by Ukrainian authorities/forces,# km² controlled by Russian forces,# km² unconfirmed control,# battles,# explosions/remote violence,# violence against civilians,# fatalities,# civilian fatalities,# civilian injuries,# total infrastructure damage,# total access events,# unemployed people,period
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,76753,,1018462,306000,306000,712462,0,306000,0,0,13833,13833,0,0,0,0,0,0,0,0,0,0,2124,Apr2023
Vinnytska,UA05,1018628,537725,480903,110508,117742,228250,238346,134465,372811,168123,,1502430,544000,544000,958430,0,544000,0,0,26491,26491,0,0,0,1,0,0,24,204,0,0,4680,Apr2023
Volynska,UA07,1241643,644559,597084,95205,101245,196450,129037,73972,203009,53693,,1018628,282000,282000,736628,0,282000,0,0,20149,20149,0,0,0,0,0,0,1,1,0,0,3167,Apr2023
Zakarpatska,UA21,1502430,805537,696893,117513,124691,242204,141186,88706,229892,142198,,1241643,428000,428000,813643,0,428000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,0,2299,Apr2023
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,171718,,1637673,883000,883000,754673,0,0,0,883000,27180,6659,20366,155,13,480,1,136,363,1010,14,25,10377,Apr2023
Zhytomyrska,,1179801,629467,550334,92406,98146,190552,179745,98703,278448,65412,,1179801,575000,575000,604801,0,575000,0,0,29839,29839,0,0,0,1,0,0,31,48,0,0,5808,Apr2023
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,133717,,1157115,359000,359000,798115,0,359000,0,0,20940,20940,0,0,0,1,0,0,1,6,1,2,4610,May2023
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,71255,,950773,477000,477000,473773,0,477000,0,0,31895,31895,0,0,0,137,0,3,489,735,5,6,4853,May2023
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,85527,,887392,238000,238000,649392,0,238000,0,0,8095,8095,0,0,0,1,0,0,0,0,2,3,1588,May2023
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,383112,,3093176,1100000,1100000,1993176,0,836000,264000,0,31910,31910,0,0,0,64,0,11,157,530,84,3,8947,May2023
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,78438,,4046487,2600000,2600000,1446487,0,0,0,2600000,26500,10901,15357,242,328,1457,0,2508,2167,3263,152,37,5956,May2023
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,131455,,1349096,360000,360000,989096,0,360000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,2,3458,May2023
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,491409,,2583325,1700000,1700000,883325,0,1479000,187000,34000,31435,30727,655,53,66,698,0,228,1782,2607,50,14,10015,May2023
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,22555,,1000166,239000,239000,761166,0,0,0,239000,26657,6616,18935,1106,5,358,0,223,832,847,57,47,3184,May2023
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,79153,,1225666,402000,402000,823666,0,402000,0,0,20628,20628,0,0,0,3,0,0,0,0,33,2,2952,May2023
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,91417,,897297,245000,245000,652297,0,245000,0,0,24578,24578,0,0,0,2,0,0,6,13,2,2,3476,May2023
Kyiv,UA80,1789300,969870,819430,232566,248470,481036,401501,236765,638266,253475,,2910994,1300000,1300000,1610994,0,1300000,0,0,834,834,0,0,0,17,0,3,72,114,3,3,3107,May2023
Kyivska,UA32,2910994,1568793,1342201,153069,163542,316611,253461,137057,390518,332216,,1789300,1100000,1100000,689300,0,1100000,0,0,28132,28132,0,0,0,1,0,0,2290,734,0,4,5172,May2023
